rate,location,rest_type,dish_liked,cuisines,cost_for_2
3.9/5,Koramangala 1st Block,Delivery,Hyderabadi Mutton Biryani,Biryani Kebab Rolls Mughlai,650
3.5/5,BTM,Takeaway Delivery,Biryani,Biryani North Indian,500
3.9/5,BTM,Quick Bites,Chicken Stew Ghee Rice Chai Beef Biryani,Biryani North Indian,300
3.8/5,BTM,Quick Bites,Chicken Grill Biryani Shawarma Roll Rolls Arabian Pulpy Grape Juice,North Indian Kebab Fast Food,500
3.8/5,HSR,Quick Bites,Roti,North Indian,300
3.9/5,Koramangala 6th Block,Casual Dining,Mughlai Biryani Vegetable Biryani Kaaram Biryani Gulab Jamun Raita Kebab Biryani Dum Biryani,Andhra Biryani,500
4.0/5,Indiranagar,Casual Dining,Lassi Dahi Vada Aamras Daal Baati Churma Veg Thali Malpua Kadhi,North Indian,1000
4.2/5,Koramangala 5th Block,Quick Bites,Filter Coffee Lunch Thali Idli Mini Idlis Ghee Masala Dosa Rasam Vada Pongal,South Indian,200
4.1/5,Koramangala 8th Block,Delivery,Chicken Tikka Chocolava Cake Peri Peri Pizza Tandoori Paneer Lava Cake,Pizza,750
3.7/5,BTM,Quick Bites,Rolls Chicken Roll Tandoori Chicken Biryani Chicken Lollipop Paratha Chicken Grill,Fast Food North Indian Chinese Mughlai Rolls,400
3.8/5,Koramangala 7th Block,Quick Bites,Pizza Spinach Curry Salad,Healthy Food,350
4.1/5,BTM,Casual Dining,Butter Chicken Panner Tikka Chicken Biryani Chicken Lollipop Chicken Tikka Masala Dum Biryani Tangdi Kabab,Biryani North Indian Mughlai,800
4.0/5,BTM,Quick Bites,Masala Dosa Panneer Butter Masala,Chinese North Indian South Indian,400
2.3/5,Bommanahalli,Quick Bites,Raita Vegetable Biryani Biryani Combo,Biryani North Indian Chinese,450
3.9/5,BTM,Quick Bites,Masala Dosa,South Indian North Indian Chinese,300
3.8/5,BTM,Casual Dining,Chicken Biryani Hyderabadi Biryani Dum Biryani,Andhra Biryani North Indian Chinese,500
3.7/5,BTM,Quick Bites,Tandoori Chicken Butter Chicken Tandoori Roti Bhindi Masala Paratha Dal Makhani,North Indian Chinese,400
3.9/5,HSR,Casual Dining,Biryani Fried Rice Fish Chicken Lollipop,Biryani North Indian South Indian Chinese,600
3.9/5,HSR,Casual Dining,Andhra Thali Chicken Lollipop Mutton Biryani Chicken Boneless Biryani Andhra Meal Hyderabadi Biryani Raita,Andhra Biryani North Indian Chinese,550
4.0/5,BTM,Casual Dining,Chicken Lollipop Garlic Butter Noodle,Chinese Momos,600
3.9/5,Bannerghatta Road,Casual Dining,Chicken Grill Fish Shawarma Rolls Tandoori Chicken Biryani Hyderabadi Chicken,North Indian Chinese,650
3.9/5,BTM,Quick Bites,Egg Biryani Donne Biryani,Biryani Fast Food,300
3.9/5,BTM,Quick Bites,Lassi Paratha Paneer Parantha Butter Chicken Punjabi Chicken Shahi Paneer Chicken Kolhapuri,North Indian Chinese,500
4.3/5,HSR,Quick Bites,Vada Masala Dosa Kharabath Filter Coffee Kesari Bath Idli Sambar,South Indian,150
4.0/5,HSR,Casual Dining,Tea,South Indian North Indian Chinese Beverages,300
3.2/5,HSR,Casual Dining,Rasgulla Egg Devils Mutton Kosha Luchi Chicken Biryani Aalo Bhaja Mughlai Paratha,Bengali Seafood,600
4.3/5,Koramangala 6th Block,Quick Bites,Podi Idli Masala Dosa Pongal Coffee Mini Idlis Appam Raagi Dosa,South Indian,250
3.6/5,Koramangala 1st Block,Delivery,Butter Chicken Pasta Gulab Jamun Rolls Fruit Custard Halwa Maggi,North Indian South Indian Chinese,500
3.9/5,HSR,Delivery,Salad Fried Rice Chicken,Chinese Thai Momos,600
4.2/5,HSR,Dessert Parlor,Nutella Brownie Fruit Ice Cream Ferrero Rocher Ice Cream Chocolava Hot Chocolate Fudge Mango Ice Cream Waffles,Desserts Beverages,500
4.3/5,Koramangala 5th Block,Casual Dining,Noodles Momos Ramen Soup Bubble Tea Noodle Onion Rings Veg Dim Sums,Chinese Indonesian Japanese Malaysian Thai Vietnamese Momos,800
4.0/5,Hosur Road,Quick Bites,Lassi Punjabi Chicken Paratha Kadhai Murgh Butter Naan Lemon Chicken Roti,North Indian,250
3.6/5,BTM,Casual Dining,Biryani Raita,Biryani North Indian Chinese,600
3.6/5,Koramangala 5th Block,Casual Dining,Tea Fish Thalassery Biryani Garlic Naan Chicken Curry Ghee Rice Sea Food,Kerala Biryani South Indian North Indian Chinese Seafood Juices,600
4.0/5,Koramangala 5th Block,Casual Dining,Shami Kebab Kadhai Murgh Butter Chicken Chicken Biryani Mughlai Paratha Paneer Lababdar Mughlai Chicken,Mughlai North Indian,800
4.1/5,Koramangala 5th Block,Casual Dining,Hyderabadi Biryani Mutton Biryani Tandoori Chicken Mutton Fry Chicken Biryani Lassi Crispy Babycorn,Biryani North Indian Chinese Hyderabadi,750
3.9/5,BTM,Quick Bites,Rolls Momos Paratha Chicken Tikka Roll Mutton Keema Egg Roll,Rolls Chinese,300
3.9/5,Domlur,Casual Dining,Pot Biryani Boneless Biryani Raita Paneer Biryani Mutton Biryani Sea Food Ghee Roast Mutton,North Indian Chinese Biryani Seafood,600
3.9/5,HSR,Quick Bites,Tandoori Chicken Chicken Boneless Biryani Hyderabadi Biryani Lemon Chicken Mutton Biryani Raita,Biryani Hyderabadi Chinese,600
4.2/5,Koramangala 4th Block,Delivery,Kheer Sandwich Roti Salad Rajma Gulab Jamun Chole,North Indian Biryani,450
3.9/5,Koramangala 1st Block,Casual Dining,Vegetable Biryani Chicken Biryani Raita Chicken Kebab Hyderabadi Biryani Fish Biryani Paneer Biryani,Biryani,750
4.2/5,Koramangala 7th Block,Dessert Parlor,Donut Latte Coffee Choco Bomb Hot Chocolate Waffles Cappuccino,Bakery Desserts Beverages,450
4.0/5,Koramangala 6th Block,Delivery,Pizza Brownie Chicken Biryani,Healthy Food North Indian Thai,500
3.7/5,Koramangala 4th Block,Quick Bites,Bhindi Fry Aloo Fry Sweet Lassi Paratha Tawa Roti Palak Paneer Butter Chicken,North Indian South Indian Chinese,400
3.8/5,Koramangala 5th Block,Quick Bites,Masala Dosa,South Indian North Indian Chinese Beverages,200
4.1/5,BTM,Quick Bites,Rumali Roti Rumali Shawarma Burgers Shawarma Burger,Arabian,250
4.0/5,HSR,Casual Dining,Chicken Steak Burgers Pizza Salad Fries Garlic Bread Chicken Nuggets,Italian Mediterranean European Sandwich,700
4.1/5,Koramangala 6th Block,Dessert Parlor,Nachos Waffles Hot Chocolate Fudge Chocolate Icecreams Tiramisu Cheesy Garlic Bread Vanilla Ice Cream,Desserts Ice Cream,500
4.6/5,Koramangala 1st Block,Dessert Parlor,Pancakes Waffles Popcorn Nachos Tea Savoury Crepe Hot Chocolate,Desserts Beverages,300
3.9/5,HSR,Dessert Parlor,Bubble Tea Waffles Blueberry Cheesecake,Beverages Bubble Tea Desserts,400
4.1/5,Indiranagar,Casual Dining,Pho Pad Thai Jasmine Tea Spring Roll Chocolate Shake Thai Green Curry Momos,Chinese Vietnamese Momos Thai,800
4.1/5,Koramangala 6th Block,Quick Bites,Burgers Cheesy Pizza Chips Fries Rice Bowl White Sauce Pasta Chicken Wings,Burger Pizza Momos,600
3.3/5,Koramangala 7th Block,Quick Bites,Fish Thali Aloo Paratha,North Indian,400
4.3/5,Indiranagar,Dessert Parlor,Mocha Fudge Red Velvet Brownie Salted Caramel Brownie Chocolate,Desserts,300
3.2/5,HSR,Casual Dining,Chole Bhature Tea Kachori,South Indian Street Food Fast Food Desserts Beverages,400
2.9/5,BTM,Casual Dining,Egg Tadka Roti Veg Thali,Oriya,200
4.0/5,Koramangala 5th Block,Cafe,Burgers Chicken Burger Beef Burger Mojito Tea French Fries White Sauce Pasta,Cafe Continental Italian Burger,800
4.9/5,Koramangala 5th Block,Casual Dining Bar,Noodles Chicken Dim Sum Pad Thai Noodle Jumbo Prawns Cocktails Prawn Sushi Treasure Soup,Asian Chinese Thai Momos,1500
4.1/5,Koramangala 3rd Block,Cafe,Mushroom Bruschettas Mocktails Blueberry Smoothie Opera Cake Beef Burger Pasta Arrabiata Burgers,Cafe Continental Burger Salad Healthy Food Italian,800
4.1/5,Koramangala 7th Block,Beverage Shop Quick Bites,Sandwiches Fruit Juices Chaat Paneer Sandwich Watermelon Juice Cheese Sandwich,Juices Healthy Food,300
3.9/5,Jayanagar,Quick Bites,Vada Rava Idli Masala Dosa Coffee,South Indian,200
3.9/5,Koramangala 1st Block,Delivery,Tandoori Chicken Panneer Butter Masala Butter Naan Kheer,North Indian South Indian Chinese Continental,450
3.9/5,HSR,Quick Bites,Coffee Dahi Vada Chaat,South Indian North Indian Chinese Street Food,300
4.0/5,HSR,Dessert Parlor,Ice Cream Roll Nitrogen Ice Cream Roasted Almonds Salted Caramel,Ice Cream Desserts,450
4.4/5,Indiranagar,Delivery,Pasta Chicken Meal Pongal Pesarattu Chicken Satay Noodles Salad,Healthy Food Desserts,500
4.0/5,Koramangala 6th Block,Delivery,Thai Chicken Momos,Thai Chinese,500
3.6/5,HSR,Delivery,Rolls Tandoori Momos Soya Chaap Peri Peri Chicken Roll Chicken Biryani Fries Paneer Roll,Biryani Fast Food Rolls Momos,400
3.9/5,Koramangala 1st Block,Delivery,Falafel Wrap Salads Brownie Fudge Fattoush Salad Chicken Wings Pita Bread Paneer Wrap,Mediterranean Middle Eastern Wraps Rolls,400
3.1/5,HSR,Casual Dining,Chicken Curry Mutton Biryani Paratha Kothu Parotta Mutton Fry Pallipalayam Chicken Chicken Biryani,Chettinad South Indian,550
4.3/5,Koramangala 7th Block,Quick Bites,Chole Kulcha Mutton Curry Paratha Mint Raita Chicken Curry Dal Makhani,North Indian,450
4.4/5,Koramangala 4th Block,Casual Dining,Pho Hot Pot Sangria Fig Ice Cream Crepe Fish Pumpkin Soup,Vietnamese,1000
4.1/5,Koramangala 5th Block,Cafe,Cheesy Pizza Cheese Pasta Brownie Milkshake Peri Peri Chicken Nachos Omelette Peanut Butter Milkshake,Cafe Continental,600
3.9/5,Koramangala 6th Block,Delivery,Burgers Pizza Pasta Momos Wings Chilli Paneer,Fast Food Burger Sandwich Pizza,300
3.5/5,HSR,Casual Dining,Roti Paratha Appam Chicken Biryani Kothu Parotta Elaneer Payasam Fish Fry,South Indian Chettinad Chinese North Indian Andhra Seafood,550
3.7/5,Indiranagar,Delivery,Biryani Kerala Parotta Chilli Chicken Paratha,North Indian Chinese,300
4.1/5,Koramangala 6th Block,Casual Dining,Fish Sea Food Chingri Malai Curry Mutton Kasha Jumbo Ilish Chingri Malaikari Jumbo Prawns,Bengali Mughlai,650
4.4/5,Koramangala 6th Block,Cafe,Tomato Soup Brownie Shake Pizza Salad Fries Chicken Bbq Wings Pasta,Cafe North Indian Pizza Sandwich Salad,500
4.0/5,Koramangala 4th Block,Delivery,Chicken Boneless Biryani Brownie Rolls Chicken Masala Chocolate Milkshake Chicken Curry Noodles,North Indian Chinese Biryani,500
4.5/5,HSR,Casual Dining,Burgers Pasta Mocktails Mashed Potato Salads Chicken Steak Beef Steak,Steak Continental Burger BBQ,1200
4.1/5,Koramangala 1st Block,Takeaway Delivery,Burgers Pancakes Waffles Salad,Healthy Food Salad,650
4.0/5,Koramangala 4th Block,Quick Bites,Pizza Dragon Chicken Butter Chicken Noodles Chicken Wings Chicken Noodle,Continental Pizza Chinese,400
3.4/5,BTM,Quick Bites,Chaat Dabeli Panipuri,Street Food Fast Food,200
4.0/5,Koramangala 1st Block,Quick Bites,Plain Paratha Prawn Chicken Biryani Chicken Dak Bunglow Chicken Masala Roti Aloo Posto,North Indian Chinese Bengali,450
3.5/5,Domlur,Delivery,Burgers Chicken Whopper Burger,Burger,300
3.7/5,BTM,Takeaway Delivery,Biryani Shahi Paneer,North Indian Biryani Chinese,500
3.7/5,BTM,Quick Bites,Mutton Biryani Ambur Biryani Chicken Biryani,Biryani Kebab,400
4.1/5,Koramangala 6th Block,Quick Bites,Butter Chicken Dal Makhani Roti Tangdi Kabab Panneer Butter Masala,North Indian,600
4.0/5,Koramangala 7th Block,Casual Dining,Momos Noodles Thukpa Honey Chilli Potatoes Chicken Thupka Pork Chilli Crispy Honey Chicken,Tibetan Chinese Momos,500
4.6/5,Indiranagar,Casual Dining,Cappuccino Pasta Cucumber Spritzer Cocktails Murgh Platter Mocktails Burgers,European Italian Desserts Salad Juices Steak,1600
4.1/5,BTM,Delivery,Lasagne Subz-e-royal Pot Rice,Mexican Italian,600
4.2/5,BTM,Quick Bites,Momos Pizza Sandwich Manchow Soup Chowmein Spring Roll Noodles White Pasta,Chinese Continental Fast Food Healthy Food,300
3.8/5,Koramangala 5th Block,Casual Dining,Tandoori Chicken Paratha,Arabian Kerala North Indian Chinese BBQ,800
3.9/5,Koramangala 6th Block,Quick Bites,Chaat Dabeli Pav Bhaji Dhokla Gujarati Food Jalebi Panipuri,Street Food Gujarati,300
4.0/5,Indiranagar,Delivery,Raita Chicken Biryani,Biryani,400
3.9/5,Old Airport Road,Quick Bites,Masala Dosa Rava Dosa Rava Idli Filter Coffee Vada Kesari Bath Veg Sandwich,South Indian North Indian Chinese,40
3.5/5,Koramangala 1st Block,Delivery,Naan Chicken Biryani Butter Chicken Pasta Noodles Rajma Chawal Maggi,North Indian South Indian Chinese Continental,500
4.1/5,Koramangala 7th Block,Casual Dining,Thali Duck Curry Fish Brinjal Fry Aloo Pitika Chicken Curry Lime Soda,Assamese,500
3.5/5,HSR,Casual Dining,Chicken Guntur Biryani Thali,Andhra Chinese North Indian Hyderabadi,600
3.6/5,HSR,Quick Bites,Mutton Biryani Chicken Kebab Donne Biryani,Biryani Chinese North Indian Kebab,400
4.3/5,Koramangala 4th Block,Bakery,Cup Cake Chocolate Truffle Dutch Truffle Blueberry Cheesecake,Bakery Desserts,400
3.9/5,HSR,Dessert Parlor,Donut Chocolate Doughnut Chocolate Milkshake Filter Coffee,Desserts Beverages,300
4.0/5,Koramangala 5th Block,Casual Dining,Noodles Hunan Chicken Momos Spring Roll Wonton Soup Chicken Butter Garlic Fried Rice Chicken,Chinese Thai Momos Vietnamese,800
3.9/5,BTM,Casual Dining,Fish Curry,North Indian Chinese South Indian,900
4.3/5,Koramangala 5th Block,Quick Bites,Noodles Pasta Tibetan Momos Clear Soup Thukpa Steak Chicken Momo,Tibetan Chinese Continental Momos,600
4.2/5,HSR,Casual Dining,Sushi Cocktails Mocktails Bamboo Chicken Biryani Coconut Soup Pasta Sea Food,Japanese North Indian Italian Korean Mexican Thai,1800
4.1/5,Koramangala 5th Block,Delivery,Chicken Biryani,Andhra Biryani Chinese,300
4.2/5,Koramangala 5th Block,Beverage Shop,Vanilla Ice Cream Chocolate Milkshake,Beverages,400
4.5/5,BTM,Casual Dining,Paneer Tikka Pizza Mocktails Tandoori Aloo Chowmein Pasta Alfredo Murgh Patiala,Continental Mexican Chinese North Indian,800
4.0/5,BTM,Delivery,Tandoori Chicken Mutton Biryani Andhra Biryani Raita Hyderabadi Dum Biryani Chicken Boneless Biryani Vegetable Biryani,Biryani Chinese Mughlai Fast Food Kebab,500
4.2/5,Koramangala 5th Block,Cafe,Burgers Pasta Chocolate Mousse Potato Wedges Cup Cake Cheesy Fries Peri Peri Chicken,Cafe Italian Burger American Steak,650
4.0/5,BTM,Dessert Parlor Beverage Shop,Marshmallow Chocolate Waffles,Desserts Beverages Bakery Ice Cream,300
4.1/5,Koramangala 6th Block,Cafe,Waffles,Cafe Desserts,700
4.2/5,Koramangala 7th Block,Quick Bites,Momos Noodles Thukpa Teriyaki Chicken Chicken Chowmein Clear Chicken Soup Beef Chilli,Tibetan Chinese Momos,450
3.9/5,BTM,Quick Bites,Beef Fry Fish Fry Appam Masala Prawn Egg Roast Chicken Curry Biryani,South Indian Seafood Biryani,300
4.5/5,Koramangala 5th Block,Dessert Parlor Cafe,Burgers Spinach Pizza Butter Chicken Pizza Chicken Bbq Burger Tiramisu Ferrero Rocher Brownie Shake,Ice Cream Cafe Pizza Burger Desserts Beverages,500
4.1/5,Koramangala 1st Block,Beverage Shop Quick Bites,Pasta Burgers Sandwiches,Juices Fast Food,200
4.2/5,BTM,Casual Dining,Panneer Butter Masala Chicken Tikka Mutton Curry Paneer Tikka Appam Roast Chicken Kerala Parotta,Kerala Seafood Chinese Biryani Juices,800
4.2/5,Koramangala 8th Block,Delivery,Cheesecake Chocolate Fantasy Chocolate Cake Chocolate Decadence Brownie Red Velvet Chocolava Cake,Bakery Desserts,500
3.9/5,BTM,Casual Dining,Lassi Murgh Lababdar Chaap Patiala Paneer Butter Chicken Butter Paneer Chicken Rara,North Indian,500
4.0/5,Koramangala 5th Block,Kiosk,Falafel Lamb Kebab Fattoush Teriyaki Chicken Fries Shawarma Chicken Kebab,Turkish Rolls,300
3.6/5,Koramangala 1st Block,Quick Bites,Pav Bhaji Dabeli Paratha Raj Kachori Vada Pav,North Indian Fast Food Street Food,300
3.7/5,HSR,Quick Bites,Pizza Chicken Biryani,Biryani Italian BBQ,350
4.3/5,Koramangala 7th Block,Casual Dining,Chaach Bhindi Anardana Thandai Jal-jeera Lunch Thali Sweet Lassi Crispy Babycorn,North Indian,600
4.4/5,Koramangala 5th Block,Cafe,Salad Salads Peri Peri Chicken Broccoli Soup Burgers Steak Clear Soup,Cafe Salad,800
4.2/5,Koramangala 5th Block,Dessert Parlor,Waffles Pancakes Oreo Waffle,Desserts Beverages,400
3.8/5,HSR,Quick Bites,Mushroom Masala Thali Aloo Paratha Roti Samosa Panneer Butter Masala,North Indian,350
3.2/5,Domlur,Quick Bites,Pasta Supreme Pizza Thin Crust Pizza Cheesy Garlic Bread,Pizza Italian,600
3.8/5,HSR,Quick Bites,Thali Mutton Handi,Oriya Bengali,350
4.1/5,HSR,Quick Bites,Masala Dosa Pongal Filter Coffee Tea Idli,South Indian Kerala,200
4.2/5,Koramangala 5th Block,Casual Dining,Paneer Tikka Masala Buttermilk Lassi Soya Chaap Aloo Paratha Panneer Butter Masala Stuffed Naan,North Indian,700
4.3/5,Koramangala 5th Block,Casual Dining Pub,Sea Food Burgers Onion Rings Non Veg Thali Craft Beer Roti Pizza,North Indian Chinese Pizza,1000
3.7/5,Koramangala 1st Block,Casual Dining Bar,Burgers Cocktails Mushroom Nuggets Draught Beer Fish Fingers,Continental,1200
4.6/5,Koramangala 7th Block,Lounge,Manchow Soup Caramel Custard Cocktails Bbq Platter Pork Ribs Mocktails Paratha,American North Indian Chinese Finger Food,1500
4.0/5,Ejipura,Delivery,Burgers Pizza Bacon Burger Wings Cheesecake Chicken Burger Pepperoni,Burger American Italian,350
4.5/5,Koramangala 4th Block,Casual Dining,Pasta Wine Pizza Lasagne Cheesecake Spinach Ravioli Cocktails,Italian Pizza Salad,1300
3.9/5,Koramangala 7th Block,Casual Dining,Sea Food Bhetki Paturi Chicken Dak Bunglow Prawn Rasgulla Potato Curry Mishti Doi,Bengali,600
3.6/5,BTM,Delivery,Chicken Sandwich,Healthy Food,450
4.5/5,Koramangala 1st Block,Casual Dining Bar,Kadhai Murgh Coffee Toffee Pasta Tandoori Chicken Dum Aloo Tandoori Pomfret Butter Chicken,North Indian South Indian Chinese Continental Mangalorean,1200
4.0/5,Koramangala 4th Block,Cafe,Seafood Pizza Pasta Mocktails Brownie Tenderloin Burger Burgers Exotic Veg Pizza,Cafe Continental Italian Burger Pizza,650
4.0/5,Koramangala 5th Block,Beverage Shop Dessert Parlor,Kit Kat Shake Thick Shakes Rasmalai Oreo Shake Chocolate Hazelnut Milk Shake Choco Hazelnut,Desserts Beverages Ice Cream,400
3.8/5,Koramangala 5th Block,Quick Bites,Burgers Oreo Mcflurry French Fries Mcspicy Chicken Burger Paneer Pockets Tikki Chicken Maharaja Mac,Fast Food Burger,500
4.3/5,Koramangala 5th Block,Quick Bites,French Fries Peri Peri Fries Cup Cake Potato Fries Fried Cheese Chicken Fries Mexican Fries,Fast Food,400
3.7/5,HSR,Takeaway Delivery,Liti Chokha Aloo Litti Dal Halwa,Bihari,400
4.3/5,HSR,Casual Dining,Sushi Mocktails Noodles Salad Fish Miso Soup Sashimi,BBQ Chinese Japanese Asian,1000
4.2/5,Koramangala 6th Block,Cafe,Cappuccino Burgers Fish Pizza Coffee White Sauce Pasta Fries,Cafe,600
4.1/5,Koramangala 5th Block,Casual Dining,Burgers Pasta Pizza Biryani Veg Burger Chicken Burger Chicken Lollipop,North Indian Chinese Fast Food Biryani,600
4.0/5,Richmond Road,Quick Bites,Rolls Shawarma Chicken Shawarama Beef Shwarma Haleem Beef Seekh Roll Chicken Roll,Arabian Biryani Rolls Kebab,400
4.1/5,Koramangala 5th Block,Quick Bites,Tea Chole Khichda Butter Paneer Paneer Bhurji Paratha Masala Chai,Fast Food,250
4.4/5,Koramangala 4th Block,Casual Dining,Salads Shitake Mushrooms Noodles Dumplings Nasi Goreng Crispy Corn Vegetarian,Malaysian Thai Singaporean Asian Chinese Momos,1000
3.2/5,BTM,Quick Bites,Paratha Rolls Roti,North Indian Chinese Rolls,250
4.0/5,Koramangala 1st Block,Delivery,Burgers Pita Bread Chicken Grill French Fries Peri Peri Chicken,BBQ Fast Food,300
3.9/5,Ejipura,Quick Bites,Chicken Curry Fish Thali Rolls Rasgulla Chicken Biryani,Bengali North Indian,500
3.9/5,Koramangala 4th Block,Casual Dining,Noodles Momos Chicken Manchow Soup Chicken Noodle Prawn Chicken Honey Thai Rice,Chinese Thai Momos,500
3.7/5,HSR,Cafe,Masala Chai Garlic Bread Oreo Shake,Cafe Fast Food North Indian,600
4.1/5,Koramangala 5th Block,Dessert Parlor,Churros Baklava Ice Cream Cheesecake Chocolate Peanut Butter Cheese Roll Chocolate Sundae,Desserts Ice Cream Beverages Sandwich,450
3.9/5,Koramangala 7th Block,Delivery,Chicken Grill Sandwich,Healthy Food Beverages,600
4.5/5,Koramangala 5th Block,Casual Dining,Jeera Rice Mutton Chops Chicken Salad Vegetable Biryani Zafrani Mutton Biryani Mutton Seekh Mutton Roganjosh,North Indian Mughlai Salad,1300
3.5/5,BTM,Sweet Shop Quick Bites,Chaat Chole Bhature Raj Kachori Thali Rasmalai Paratha Pav Bhaji,Mithai North Indian Street Food Chinese,400
3.8/5,HSR,Casual Dining,Egg Roast Appam Fish Sea Food Chicken Curry Chicken Stew Beef Fry,Kerala Seafood South Indian North Indian Chinese,600
4.1/5,Koramangala 4th Block,Dessert Parlor,Cup Cake Chocolate Cake,Desserts,300
4.0/5,HSR,Casual Dining,Sea Food Vegetable Biryani Mushroom Manchurian Hyderabadi Biryani Chicken Biryani Mutton Biryani Chicken Guntur,Biryani North Indian Chinese Seafood,800
3.1/5,BTM,Quick Bites,Ginger Chai Ginger Tea Pakoda Paratha Maggi Pav Bhaji Sulemani Chai,North Indian Momos Rolls Fast Food,300
4.1/5,Koramangala 4th Block,Casual Dining,Rasmalai Murgh Lababdar Kadai Paneer Dal Makhani Fish Jal-jeera Lassi,North Indian,1000
3.5/5,BTM,Quick Bites,Fish Rasmalai Doi Katla Aalo Bhaja Bhetki Paturi Chicken Kasha Aloo Posto,Bengali North Indian Chinese,500
4.0/5,Koramangala 1st Block,Quick Bites,Appam Chicken Curry Passion Fruit Juice Crepe,Salad Healthy Food Street Food,300
4.1/5,HSR,Beverage Shop,Dessert Jar Berryblast Vanilla Ice Cream Cheesecake,Beverages Desserts Ice Cream,400
4.2/5,Koramangala 7th Block,Casual Dining,Fish Veg Thali Bamboo Shoot Pork Pork Fry Kheer Pork Thali Clear Soup,North Indian Chinese Assamese,800
3.9/5,Koramangala 7th Block,Quick Bites,Coffee Burgers Pasta Beef Steak Chicken Lasagne Salads Sandwiches,Fast Food American Chinese,600
4.3/5,Koramangala 1st Block,Quick Bites,Baklava Falafel Roll Falafel Plate Pita Bread Mint Lemonade Pita Pocket Pomegranate Juice,Lebanese Middle Eastern,300
3.5/5,Koramangala 1st Block,Quick Bites,Tikki Chicken Tikka Chicken Biryani Thali Shammi Kebab Roll Rumali Roti Nihari,Lucknowi Chinese,500
3.9/5,HSR,Casual Dining,Beer Steak Burgers Fritters Caramel Custard Pasta Alfredo Pizza,Italian Chinese Continental Steak,1000
4.0/5,Koramangala 6th Block,Casual Dining,Lassi Raita Dal Makhani Jalebi Rabri Chaach Hara Bhara Kabab Lime Soda,North Indian,600
4.3/5,Koramangala 4th Block,Quick Bites,Bingsu Mocktails Custard Chocolate Oreo Sandwiches Brownie Korean Ice Cream,Desserts Ice Cream Beverages,450
4.5/5,Koramangala 5th Block,Casual Dining Microbrewery,Beef Chilli Salad Cocktails Pizza Craft Beer Mango Cider Potato Wedges,Continental Mediterranean North Indian Chinese Finger Food,1600
4.2/5,Koramangala 5th Block,Casual Dining,Momo Platter Thali Noodles Chicken Sekuwa Chicken Thukpa Jhol Momos Veg Momos,Chinese Singaporean Thai Asian Nepalese Momos,600
3.9/5,Koramangala 4th Block,Food Court,Thukpa Chocolate Momos Schezwan Momos Momos Burger Burgers Chicken Momo Veg Momos,Tibetan Momos,400
4.0/5,HSR,Casual Dining,Momos Fish Chilli Chicken Singapore Noodles Bamboo Rice Dumplings Tom Yum Soup,Chinese Asian Seafood,800
4.2/5,Bannerghatta Road,Quick Bites,Burgers Chicken Popcorn Peri Peri Chicken Peri Peri Burger Fries Chicken Wings Crunchy Veg Burger,American Burger Fast Food,400
4.2/5,Koramangala 5th Block,Casual Dining,Coconut Payassam Seafood Soup Fish Filter Kaapi Tender Coconut Payasam Mutton Curry Mysore Masala Dosa,Chettinad Andhra Kerala,1300
4.1/5,HSR,Casual Dining,Naan Roti Shahi Paneer Shahi Tukda,North Indian,650
4.2/5,Koramangala 5th Block,Casual Dining,Sea Food Neer Dosa Fish Curry Chicken Thali Crab Ghee Roast Squid Ghee Roast Murgh Ghee Roast,Seafood Mangalorean Chinese,800
3.0/5,Domlur,Dessert Parlor,Sandwich,Desserts Juices Fast Food,200
3.2/5,Koramangala 5th Block,Quick Bites,Shawarma Sandwiches,Arabian Sandwich Rolls Burger,300
2.8/5,Koramangala 7th Block,Casual Dining,Biryani Butter Naan,North Indian Chinese BBQ,700
3.9/5,HSR,Quick Bites,Sandwiches Fries Sandwich Pizza Thick Shakes Garlic Bread,Fast Food,250
3.8/5,Koramangala 4th Block,Delivery,Biryani,Biryani North Indian,600
4.3/5,HSR,Casual Dining,Pasta Salad Burgers Spaghetti Mocktails Chettinad Pizza Veg Burger,American Modern Indian Italian South Indian,700
2.9/5,Domlur,Delivery,Thin Crust Pizza Pepperoni Pie,Italian Pizza,600
4.1/5,Indiranagar,Cafe Casual Dining,Momos Wedges Chai Veg Club Sandwich Masala Tea Pasta Maggi,Cafe Continental Momos Italian North Indian,500
4.0/5,Koramangala 7th Block,Bakery Dessert Parlor,Donut Chocolate Mousse Chocolate Cake Cheesecake Chicken Wings,Bakery Fast Food,500
4.2/5,Koramangala 6th Block,Quick Bites,Lassi Nachos Mojito Roti Panipuri Pizza Waffles,North Indian Chinese Italian Street Food Desserts,600
3.8/5,Koramangala 7th Block,Casual Dining,Rolls Kathi Roll Mutton Roll Chicken Roll Firni Chicken Tikka Bengali Style Biryani,North Indian Kebab Biryani Rolls,700
2.8/5,Indiranagar,Casual Dining,Noodles Kung Pao Vegetables Sweet Corn Soup Chowmein Prawn,Chinese Thai Momos Vietnamese,600
4.8/5,Koramangala 5th Block,Dessert Parlor,Nachos Chocolate Waffles Nutella Waffle Salsa Oreo Waffle,Desserts,400
4.4/5,Koramangala 6th Block,Casual Dining,Noodles Veg Momos Chicken Soup Chicken Dumplings Meishan Tofu Sea Food Mocktails,Chinese,1100
4.0/5,Koramangala 6th Block,Casual Dining,Pizza Pasta Garlic Bread Veg Burger Wine Minestrone Soup Chocolate Cake,Italian Pizza Fast Food Salad,750
